symbol,name,id
'BJ','Bjs Wholesale Club I',NULL
'BJCT','Bioject Med Tech Inc',3087
'BJRI','Bjs Restaurants Inc',2044
'BJS','Bj Svcs Co',NULL
'BK','Bank Of New York Mellon',736081
'BKC','Burger King Hldgs In',NULL
'BKD','Brookdale Sr Living',682460
'BKE','Buckle Inc',8024
'BKH','Black Hills Pwr & Lt',81835
'BKI','Buckeye Technologies',NULL
'BKMU','Bank Mutual Corp New',79224
'BKR','Baker Michael Corp',NULL
'BKRS','Bakers Footwear Grou',NULL
'BKS','Barnes & Nobles Inc',11529
'BKUN.A','Bankunited Finl Corp',11529
'BKYF','Bank Ky Finl Corp',NULL
'BLC','Belo A H Corp',NULL
'BLD','Baldwin Technology I',959450
'BLDR','Builders Firstsource',664289
'BLFS','Biolife Solutions In',6578
'BLGM','Building Matls Hldg',NULL
'BLK','Blackrock Inc',711679
'BLKB','Blackbaud Inc',623652
'BLL','Ball Corp',7440
'BLSW','Bridgeline Software Inc',NULL
'BLT','Blount Intl Inc New',25458
'BLTI','Biolase Technology I',NULL
'BLUD','Immucor Inc',NULL
'BMC','Bmc Software Inc',NULL
'BMI','Badger Meter Inc',3683
'BMR','Biomed Realty Trust',634113
'BMRC','Bank Of Marin Bancorp',749339
'BMRN','Biomarin Pharmaceuti',7265
'BMS','Bemis Inc',6339
'BMTC','Bryn Mawr Bk Corp',3109
'BMTI','Biomimetic Therapeut',NULL
'BMY','Bristol Myers Squibb',919
'BNCL','Beneficial Mutual Banco',723506
'BNCN','Bnc Bancorp',388658
'BNE','Bowne & Co Inc',NULL
'BNHN.A','Benihana Inc',NULL
'BNI','Burlington Northn Sa',NULL
'BNVI','Bionovo Inc',NULL
'BNX','Banks Com Inc',NULL
'BOBE','Bob Evans Farms Inc',1746
'BOFI','Bofi Hldg Inc',658282
'BOFL','Bank Fla Corp Naples',NULL
'BOH','Bank Hawaii Corp',7444
'BOKF','Bok Finl Corp',304
'BOLT','Bolt Technology Corp',6929
'BONT','Bon-Ton Stores Inc',1993
'BOOM','Dynamic Matls Corp',927
'BOOT','Lacrosse Footwear In',937806
'BPAX','Biosante Pharmaceuti',NULL
'BPFH','Boston Private Banco',7688
'BPI','Bridgepoint Ed Inc',651558
'BPL','Buckeye Partners L P',509
'BPO','Brookfield Pptys Cor',NULL
'BPOP','Popular Inc',1012
'BPSG','Broadpoint Gleacher Sec',NULL
'BPT','Bp Prudhoe Bay Rty T',4373
'BPUR','Biopure Corp',NULL
'BPZ','Bpz Energy Inc',NULL
'BR','Broadridge Finl Solutio',729348
'BRC','Brady Corporation',1042
'BRCD','Brocade Communications',7476
'BRCM','Broadcom Corp',5965
'BRE','Bre Properties Inc',NULL
'BRID','Bridgford Foods Corp',7516
'BRK.A','Berkshire Hathaway I',7516
'BRKL','Brookline Bancorp In',6914
'BRKR','Bruker Biosciences C',75311
'BRKS','Brooks Automation In',7353
'BRLI','Bio-Reference Labs I',NULL
'BRN','Barnwell Inds Inc',8784
'BRNC','Bronco Drilling Co I',NULL
'BRO','Brown & Brown Inc',11186
'BRS','Bristow Group Inc',8336
'BRT','Brt Rlty Tr',6526
'BRY','Berry Pete Co',NULL
'BSDM','Bsd Med Corp Del',NULL
'BSET','Bassett Furniture In',7609
'BSMD','Biosphere Medical In',NULL
'BSQR','Bsquare Corp',1587
'BSRR','Sierra Bancorp',82025
'BSTC','Biospecifics Technol',5084
'BSX','Boston Scientific Co',10001
'BTFG','Banctrust Financial',NULL
'BTH','Blyth Inc',366
'BTIM','Biotime Inc',NULL
'BTN','Ballantyne Omaha Inc',8747
'BTU','Peabody Energy Corp',53564
'BTUI','Btu Intl Inc',NULL
'BUCY','Bucyrus Intl Inc New',NULL
'BUKS','Butler Natl Corp',1114
'BUSE','First Busey Corp',10531
'BVSN','Broadvision Inc',4044
'BVX','Bovie Medical Corp',6675
'BW','Brush Engineered Mat',960390
'BWA','Borg-Warner Automoti',5681
'BWIN.B','Baldwin & Lyons Inc',5681
'BWLD','Buffalo Wild Wings I',52300
'BWP','Boardwalk Pipeline P',682977
'BWS','Brown Shoe Inc New',NULL
'BWTR','Basin Wtr Inc',NULL
'BWY','Bway Holding Company',NULL
'BX','Blackstone Group L P',738605
